137	1.63	1
427	1.81	0
374	1.22	1
180	2.06	1
433	1.1	1
343	1.3	1
404	2.34	1
366	2.37	0
313	0.35	1
330	2.13	1
472	2.52	0
411	2.91	1
226	1.09	1
415	2.08	0
202	1.55	0
443	2.18	1
370	1.38	0
438	1.73	1
354	1.73	0
404	1.38	1
170	0.698	0
262	2.26	0
418	2.05	0
396	2.02	1
235	2.37	1
196	1.58	0
221	0.972	1
385	0.303	0
280	1.65	1
321	0.807	1
248	1.49	0
238	2.98	0
290	1.2	1
415	1.35	1
367	2.07	1
153	2.49	0
346	1.64	1
427	1.28	1
402	0.917	0
225	1.64	1
106	1.83	0
207	1.37	1
202	0.891	0
354	1.69	0
377	1.31	1
186	1.11	0
498	1.67	0
192	0.667	1
244	1.49	0
319	1.07	0
453	3.05	1
313	1.98	1
454	2.31	0
439	0.3	0
340	1.62	0
203	0.893	0
192	1.4	0
278	1.38	0
232	2.4	1
370	1.02	0
351	2.29	1
224	2.69	1
369	1.27	0
251	2.47	1
233	1.87	1
355	1.31	1
366	0.599	1
406	1.66	1
341	1.76	1
393	1.77	0
172	2.2	0
213	1.22	1
487	2.37	0
419	1.67	0
383	2.38	1
379	2.31	1
139	2.32	1
38.4	1.33	0
428	0.682	1
261	1.52	0
136	1.94	1
217	2.49	0
484	2.79	1
466	1.67	1
227	1.6	1
372	1.87	0
443	2.4	0
246	1.5	0
384	1.76	1
329	2.26	1
328	2.83	0
186	1.6	0
365	1.79	0
214	1.57	1
272	2.51	0
453	1.18	1
301	1.82	0
148	2.4	1
207	1.31	1
288	0.67	0
292	1.39	1
379	1.31	0
220	2.38	1
217	1.56	1
458	0.711	0
375	2.69	1
505	1.56	0
434	1.42	0
213	1.75	0
390	1.67	1
237	2.08	1
466	2.24	1
287	1.71	0
156	1.67	0
403	1.47	1
343	3.39	0
142	1.89	1
471	0.926	1
165	0.95	1
159	1.47	1
171	2.35	0
186	1.5	1
339	1.19	1
413	1.59	1
236	1.65	0
217	1.18	1
401	1.65	0
449	2.05	0
377	3.65	0
380	1.42	1
437	1.44	1
436	1.26	0
421	0.975	1
241	2.48	0
276	0.617	1
181	0.826	0
476	3.34	1
420	3.33	1
243	1.85	0
205	2.2	0
417	1.43	0
169	2.07	1
426	0.617	1
182	1.71	0
379	2.11	0
186	1.88	1
352	3.29	1
172	1.71	1
355	1.85	1
129	0.913	0
249	1.94	0
166	1.96	1
208	1.03	0
166	0.378	0
366	0.973	0
465	1.44	1
450	0.819	0
193	2.4	1
272	1.95	1
168	2.8	1
180	1.91	1
399	1.26	0
455	1.18	0
374	1.5	0
461	1.92	1
403	1	1
386	0.934	1
425	1.5	1
256	1.76	1
390	1.31	1
416	0.435	0
153	0.969	0
246	0.46	1
243	1.84	0
455	1.41	0
280	1.38	0
427	0.811	0
183	1.62	1
153	1.54	1
372	2.31	1
300	2.51	0
368	1.21	0
145	1.51	1
254	1.82	0
427	1.9	0
432	1.88	1
417	1.01	0
181	2.06	1
208	2.35	0
367	2.64	1
430	0.4	1
230	0.642	0
380	1.67	0
438	1.79	1
396	1.21	1
331	1.74	0
184	1.05	0
342	1.39	1
178	1.52	0
417	1.55	0
261	1.91	1
415	0.892	1
413	2.95	1
212	0.781	0
168	1.11	1
318	1.92	0
388	1.53	0
245	2.13	1
249	1.19	0
415	1.58	1
389	1.73	0
436	1.08	1
301	2.19	0
151	2.42	1
289	1.93	1
372	2.05	0
420	1.86	0
459	1.15	1
454	0.845	0
406	2.08	1
205	1.06	1
197	1.65	1
452	1.75	0
171	1.69	0
417	2.41	0
189	2.48	1
401	1.18	1
365	2.43	0
472	1.04	1
376	2.33	0
461	1.9	0
412	0.96	0
358	0.504	1
243	1.59	0
273	1.91	0
117	2.08	0
368	2.23	0
365	0.935	0
153	0.374	0
105	1.04	1
529	3.6	1
189	1.69	0
219	2.18	0
177	1.33	1
198	1.46	1
284	2.03	1
217	2.09	1
254	2.75	0
391	1.42	0
442	1.99	1
182	1.65	1
412	0.836	0
402	1.53	0
191	2.13	1
194	0.658	1
346	0.73	1
135	1.58	0
221	2.12	0
132	2.12	1
494	0.565	0
172	2.08	1
273	0.32	1
254	1.32	1
367	2.43	0
185	2.08	1
418	1.23	0
153	2.06	0
184	1.27	0
345	0.511	1
351	1.33	0
283	1.52	0
81.8	1.05	1
233	1.46	1
388	0.804	0
313	2.36	0
393	2.23	1
449	1.45	1
191	1.07	0
247	1.44	0
328	1.93	1
120	1.92	0
316	2.29	1
536	2.2	1
401	3.02	0
255	1.35	0
433	1.02	0
311	3.02	1
161	1.57	1
204	0.406	1
195	0.901	1
171	1.24	0
127	1.39	1
154	1.73	1
234	1.69	0
461	1.94	1
428	1.32	1
227	2.44	0
193	0.915	1
444	2.38	0
286	0.315	1
